name,username,phone,department,role
Sabrina Green,sgreen,802-867-5309,IT Infrastructure,System Administrator
Eli Jones,ejones,684-3481127,IT Infrastructure,IT specialist

#converting infor in to a list of dictionaries, with one invebed dictionary on "phone"
#people = [
#    {
#        "name": "Sabrina Green",
#       "username": "sgreen",
#        "phone": {
#            "office": "802-867-5309",
#            "cell": "802-867-5310"
#        },
#        "department": "IT Infrastructure",
#        "role": "Systems Administrator"
#    },
#    {
#        "name": "Eli Jones",
#        "username": "ejones",
#        "phone": {
#            "office": "684-348-1127"
#        },
#        "department": "IT Infrastructure",
#        "role": "IT Specialist"
#    },
#]
